# ion         wavelength   f_jk    Damping_coefficient mass_amu
  CIII977     977.0201     0.757   1.76E9              12.0107 
  NI1199      1199.5496    0.1320  4.07e8              14.0067
  NI1200.2    1200.2233    0.0869  4.02e8              14.0067
  NI1200.7    1200.7098    0.0432  4.00e8              14.0067
  SII1250     1250.584     0.00543 4.63e7              32.065
  SII1253     1253.811     0.0109  4.62e7              32.065
  SII1259     1259.519     0.0166  4.65e7              32.065
  OI1302      1302.1685    0.04800 5.650e8             15.9994
  CII1036     1036.3367    0.11800  2.88E8              12.0107 
  CII1334     1334.5323    0.1278  2.88E8              12.0107   
  CII*1335    1335.7077    0.1150  2.88E8              12.0107 
  NV1238      1238.821     0.156   3.391E8             14.0067 
  NV1242      1242.804     0.077   3.356E8             14.0067 
  SiII1190    1190.4158    0.292   4.08E9              28.0855 
  SiII1193    1193.2897    0.582   4.07000013E9        28.0855 
  SiII1260    1260.4221    1.18    2.95000013E9        28.0855 
  SiII1304    1304.3702    0.0863  1.01E9              28.0855 
  SiII1526    1526.70698   0.133   1.13E9              28.0855 
  SiIII1206   1206.5       1.63    2.48E9              28.0855 
  SiIV1393    1393.76018   0.513   8.8E8               28.0855 
  SiIV1402    1402.77291   0.254   8.62E8              28.0855 
  OVI1031     1031.9261    0.1325  4.149E8             15.9994 
  OVI1037     1037.6167    0.0658  4.076E8             15.9994 
  NeVIII770   770.409      0.103   1.0E8               20.1797 
  NeVIII780   780.324      0.0505  1.0E8               20.1797 
  CIV1548     1548.2049    0.1899  2.642E8             12.0107 
  CIV1550     1550.77845   0.09475 2.628E8             12.0107 
  FeII1144    1144.9379    0.0830  3.520E8             55.845
  FeII1608    1608.45085   0.0577  2.74e8              55.845
  FeII2600    2600.1724835 0.2394  2.70e8              55.847
  FeII2586    2586.6495659 0.069125  2.70e8            55.847
  NiII1703    1703.4119    0.01224 5.00e8              58.6934
  AlII1670    1670.7886    1.740   1.390e9             26.981539
  MgII2796    2796.3542699 0.6155  2.68E8              24.305  
  MgII2803    2803.5314853 0.3058  2.66E8              24.305
  MgI2852     2852.96328   1.83    5.0E8               24.305  
  HI1215      1215.6701    0.4164  6.2649997E8         1.0079    
  HI1025      1025.7223    0.07912 1.897E8             1.0079    
  HI972       972.5368     0.02900 8.127E7             1.0079
