# Data compiled from Morgan (2003)
# atom   state   wavelength   f_jk       damping_coeff   amu       
  H      I       1215.6701    0.4164     6.265E8          1.0079    
  H      I       1025.7223    0.07912    1.897E8          1.0079    
  H      I       972.5368     0.029      8.127E7          1.0079    
  H      I       949.7431     0.01394    4.204E7          1.0079    
  H      I       937.8035     0.007799   2.450E7          1.0079    
  H      I       930.7483     0.004814   1.236E7          1.0079    
  H      I       926.2257     0.003183   8.255E6          1.0079    
  H      I       923.1504     0.002216   5.785E6          1.0079    
  H      I       920.9631     0.001605   4.210E6          1.0079    
  H      I       919.3514     0.0012     3.160E6          1.0079    
  H      I       918.1294     9.21E-4    2.432E6          1.0079    
  H      I       917.1806     7.226E-4   1.911E6          1.0079    
  H      I       916.429      5.77E-4    1.529E6          1.0079    
  H      I       915.824      4.69E-4    1.243E6          1.0079    
  H      I       915.329      3.86E-4    1.024E6          1.0079    
  H      I       914.919      3.21E-4    8.533E5          1.0079    
  H      I       914.576      2.7E-4     7.186E5          1.0079    
  H      I       914.286      2.3E-4     6.109E5          1.0079    
  H      I       914.039      1.97E-4    5.237E5          1.0079    
  H      I       913.826      1.7E-4     4.523E5          1.0079    
  H      I       913.641      1.48E-4    3.933E5          1.0079    
  H      I       913.48       1.29E-4    3.443E5          1.0079    
  H      I       913.339      1.14E-4    3.030E5          1.0079    
  H      I       913.215      1.01E-4    2.679E5          1.0079    
  H      I       913.104      8.9E-5     2.382E5          1.0079    
  H      I       913.006      8.0E-5     2.127E5          1.0079    
  H      I       912.918      7.1E-5     1.907E5          1.0079    
  H      I       912.839      6.4E-5     1.716E5          1.0079    
  H      I       912.768      5.8E-5     1.550E5          1.0079    
  H      I       912.703      5.3E-5     1.405E5          1.0079    
  H      I       912.645      4.8E-5     1.277E5          1.0079    
  H      I       911.7633     6.3E-18    1.0000           1.0079    
  H      I2      6564.623     0.6958     6.465E7          1.0079    
  H      I2      4862.688     0.1218     2.062E7          1.0079    
  H      I2      4341.69      0.04437    9.425E6          1.0079    
