# wave	flux	error	model
# 
1.030003735999999890e+03 1.114910936200000036e+00 9.394220570000000325e-02 9.999998356782173747e-01
1.030029504000000088e+03 7.943835514999999514e-01 9.626776049999999363e-02 9.999998310997393336e-01
1.030055272999999943e+03 1.003159560000000061e+00 1.000594087000000049e-01 9.999998263265187370e-01
1.030081042000000025e+03 9.996595458999999462e-01 9.419937509999999625e-02 9.999998213475059794e-01
1.030106811999999991e+03 1.062850422899999980e+00 9.698400510000000641e-02 9.999998161504470851e-01
1.030132581999999957e+03 1.130060952800000074e+00 1.061358057000000021e-01 9.999998107225831490e-01
1.030158353000000034e+03 9.184226534999999636e-01 1.070716876000000067e-01 9.999998050497606039e-01
1.030184124999999995e+03 9.683660885999999524e-01 9.512127539999999659e-02 9.999997991169480294e-01
1.030209898000000067e+03 9.952821799000000080e-01 1.011712305999999950e-01 9.999997929079378345e-01
1.030235670999999911e+03 1.082073488900000102e+00 1.019941793999999957e-01 9.999997864054913643e-01
1.030261445000000094e+03 9.590558782000000448e-01 9.527174550000000464e-02 9.999997795904637110e-01
1.030287219000000050e+03 9.287104570999999975e-01 9.536432699999999874e-02 9.999997724426744616e-01
1.030312993999999890e+03 9.941924654999999555e-01 1.038587883000000045e-01 9.999997649396920041e-01
1.030338770000000068e+03 7.293292446000000373e-01 1.062072024000000059e-01 9.999997570574556960e-01
1.030364546000000018e+03 1.062914831300000085e+00 9.774046879999999382e-02 9.999997487701501875e-01
1.030390323000000080e+03 8.667567399000000172e-01 1.032769575000000023e-01 9.999997400490292510e-01
1.030416099999999915e+03 9.177585595999999679e-01 1.015751290000000001e-01 9.999997308634548387e-01
1.030441878999999972e+03 9.859567098000000529e-01 9.189057929999999708e-02 9.999997211788733686e-01
1.030467656999999917e+03 1.035943078100000081e+00 9.748169449999999348e-02 9.999997109594462863e-01
1.030493437000000085e+03 9.561700485999999888e-01 1.023207737000000062e-01 9.999997001634995941e-01
